Reference,ep-headnote,ep-headnote-language,ep-catchword,ep-catchword-language,Case Code,Country,Appeal Number,Year
D050007EP1,"[EN] I. Details of the marking within the meaning of Rule 6(1) of the implementing provisions (IP) to the Regulation on the European qualifying examination for professional representatives (REE) are deemed to include sufficient sub-division of the maximum achievable mark and the candidate’s overall mark into submarks, and an indication of the substantive and legal issues for which those sub-marks were awarded (point 9 of the reasons). II. In producing schedules of marks there has to be a trade-off between their purpose of ensuring uniform marking (Article 16 REE) and the need also to allow for fair marking of answers which deviate from the scheme but are at least reasonable and competently substantiated. The schedules must therefore leave some room for manoeuvre and – merely – be sufficiently detailed to constitute details of the marking within the meaning of Rule 6(1) IP allowing candidates to verify, on the basis of documents published or made accessible, whether the marking of their answers infringed marking principles the respect of which is subject to review by the Disciplinary Board of Appeal (point 13 of the reasons). III. On the issue of whether the absence of an obligation to substantiate a negative examination decision other than as required by Rule 6(1) of the IP to the REE contravenes higher-ranking legal principles, see point 25 ff of the reasons.",EN,,None,D,EP,0007,2005
D050007FP1,"[FR] I. Par détail de la notation au sens de la règle 6(1) des dispositions d’exécution du règlement relatif à l’examen européen de qualification des mandataires agréés (REE), il faut entendre une ventilation suffisante, en notes partielles, de la note maximale et de la note totale attribuée au candidat, ainsi qu’une indication des aspects techniques ou juridiques auxquels ces notes partielles se rapportent (point 9 des motifs). II. Lors de l’élaboration des grilles de notation, il importe de mettre en balance leur finalité, à savoir la notation uniforme des candidats (article 16 REE), et la nécessité de noter équitablement des réponses qui s’éloignent du schéma, mais qui sont au moins acceptables et justifiées avec compétence. Les grilles de notation doivent donc laisser une certaine liberté d’appréciation et être – simplement – suffisamment détaillées pour donner le détail de la notation au sens de la règle 6(1) des dispositions d’exécution, et permettre aux candidats, à l’aide des textes publiés ou rendus accessibles, de vérifier si, lors de la notation de leurs copies, il a été porté atteinte à des principes de notation dont la Chambre peut contrôler l’observation (point 13 des motifs). III. Concernant la question de savoir si l’absence d’une obligation de motiver une décision négative en matière d’examens, allant au-delà de ce que prévoit la règle 6(1) des dispositions d’exécution du REE, est contraire à certains principes de droit supérieurs, cf. point 25 s. des motifs.",FR,,None,D,EP,0007,2005
D790001DP1,"[DE] 1. Zur europaeischen Eignungspruefung koennen nur Bewerber zugelassen werden, die ein Praktikum unter Leitung eines anerkannten zugelassenen Vertreters abgelegt haben. 2. Das Praktikum auf Vollzeitbasis muss ausschliesslich der Ausbildung gedient haben. 3. Die vom Bewerber verlangten Nachweise sollten bereits der Pruefungskommission, nicht aber erstmals der Beschwerdekammer in Disziplinarangelegenheiten vorgelegt werden; sie sollten so ausfuehrlich wie moeglich sein.",DE,,None,D,EP,0001,1979
D790001EP1,[EN] 1. An applicant for enrolment for the European Qualifying Examination must have been trained under the supervision of qualified professional representatives. 2. The whole of the full time training period must be dedicated to training. 3. Evidence in support of an application should be made available to the Examination Board and not submitted for the fist time to the Disciplinary Board of Appeal and should be as detailed as possible.,EN,,None,D,EP,0001,1979
D790001EX1,[EN] 1. An applicant for enrolment for the European Qualifying Examination must have been trained under the supervision of qualified professional representatives. 2. The whole of the full time training period must be dedicated to training. 3. Evidence in support of an application should be made available to the Examination Board and not submitted for the fist time to the Disciplinary Board of Appeal and should be as detailed as possible.,EN,,None,D,EP,0001,1979
D790001FP1,[FR] 1. Toute personne demandant son inscription aux épreuves de l'examen européen de qualification doit avoir accompli un stage sous la direction de mandataires agréés qualifiées. 2. Le stage à temps complet doit avoir été entièrement consacré à la formation. 3. Les justifications venant à l'appui de la demande doivent être mises à la disposition du jury d'examen et non pas être présentées pour la première fois à la chambre de recours statuant en matière disciplinaire; elles doivent être aussi détaillées que possible.,FR,,None,D,EP,0001,1979
D800001DP1,"[DE] Die Beschwerde eines Prüflings, der die europäische Eignungsprüfung fuer die beim Europäischen Patentamt zugelassenen Vertreter nicht bestanden hat, der aber später gemäss Art. 163(1)(2) EPÜ ohne Prüfung in die Liste der zugelassenen Vertreter eingetragen wurde, ist materiellrechtlich unzulässig. Zum einen kann ein solcher Bewerber mangels einer persönlichen und direkten Beschwer weder Kraft der allgemeinen Grundsätze des europäischen Patentrechts noch Kraft des in den Vertragsstaaten gültigen Verfahrensrechts das Ergebnis der Prüfung in Frage stellen, zum anderen steht der Anspruch auf Akteneinsicht nur demjenigen zu, dem er dazu verhelfen könnte, eine ihm ungünstige Entscheidung zu ändern. Er besteht nicht für sich allein als selbständiges Recht.",DE,,None,D,EP,0001,1980
D800001DX1,"[DE] Die Beschwerde eines Prüflings, der die europäische Eignungsprüfung fuer die beim Europäischen Patentamt zugelassenen Vertreter nicht bestanden hat, der aber später gemäss Art. 163(1)(2) EPÜ ohne Prüfung in die Liste der zugelassenen Vertreter eingetragen wurde, ist materiellrechtlich unzulässig. Zum einen kann ein solcher Bewerber mangels einer persönlichen und direkten Beschwer weder Kraft der allgemeinen Grundsätze des europäischen Patentrechts noch Kraft des in den Vertragsstaaten gültigen Verfahrensrechts das Ergebnis der Prüfung in Frage stellen, zum anderen steht der Anspruch auf Akteneinsicht nur demjenigen zu, dem er dazu verhelfen könnte, eine ihm ungünstige Entscheidung zu ändern. Er besteht nicht für sich allein als selbständiges Recht.",DE,,None,D,EP,0001,1980
D800001EP1,"[EN] The appeal filed by a candidate, who failed the European Qualifying Examination for professional representatives before the European Patent Office but who was later entered on the list of professional representatives without examination, in accordance with Article 163, paragraphs 1 and 2, EPC, is inadmissible per se. Neither under the general principles of European patent law nor the provisions common to procedural law in the Contracting States can such a candidate challenge the result of the examination, as he cannot be considered to have suffered direct an personal adverse effects. Furthermore, the right to inspect the files is available only to a person in whose case it could help to change an adverse decision. It does not exist as an independent right per se.",EN,,None,D,EP,0001,1980
D800001FP1,"[FR] Le recours d'un candidat qui a échoué à l'examen européen de qualification des mandataires agréés près l'Office européen des brevets mais qui plus tard a été inscript sans examen conformément aux dispositions de l'art. 163(1) et (2) de la CBE sur la liste des mandataires agréés est irrecevable au fond. D'une part, un tel candidat ne saurait contester le résultat de l'examen, faute d'un intérêt direct et personnel tel que cette notion résulte aussi bien des principes généraux du droit européen des brevets que de droit procédural en vigeur dans les Etats contractants. D'autre part, le droit à communication du dossier n'est accordé qu'à celui auquel il peut être utile pour poursuivre la modification d'une décision qui lui porte préjudice. Il n'existe pas en tant que droit autonome. (texte pas encore traduit)",FR,,None,D,EP,0001,1980
D800002DP1,"[DE] 1. Beschwerden über die Durchführung der Eignungsprüfung für die beim EPA zugelassenen Vertreter können gemäß Punkt 6 der Anweisungen, die die Bewerber vor Beginn der Arbeiten bekommen, nur in einer bestimmten Form und in einer bestimmten Frist erhoben werden. Beschwerden, die diesen Erfordernissen nicht genügen, können weder durch die Prüfungskommission noch durch die Beschwerdekammer überprüft werden. 2. Nach der Pruefung hat der Bewerber Anspruch auf Einsicht in die Prüfungsakten. Solange ihm diese Möglichkeit nicht eingeräumt wird, ist er nicht imstande, seine Beschwerde vollständig und zutreffend zu begründen. Folglich wird eine Abhilfe durch die Prüfungskommission gemäß Artikel 23(3) der Prüfungsvorschriften praktisch ausgeschlossen. Die normale Entwicklung des Verfahrens wird unterbrochen; unter diesen Umständen ist die Angelegenheit zur erneuten Entscheidung an die erste Instanz zurückzuverweisen.",DE,,None,D,EP,0002,1980
D800002EP1,"[EN] 1. According to point 6 of the Instructions given to candidates before the start of the examination, complaints as to the conduct of the Qualifying Examination for professional representatives before the EPO may only be made in a certain form and within a certain time limit. Any complaints not satisfying these conditions cannot be given con- sideration by either the Examination Board or the Board of Appeal. 2. After the examination the candidate is entitled to inspect his examination file. As long as he is denied this opportunity, he is not in a position to furnish complete and appropriate grounds for his appeal. As a result, rectification by the Examination Board under Article 23(3) of the Examination Regulation is in effect excluded. The normal course of the procedure is thus interrupted. Under these circumstances, the case has to be remitted to the first instance for a fresh decision.",EN,,None,D,EP,0002,1980
D800002FP1,"[FR] 1. Les réclamations relatives au déroulement de l'examen de qualification des mandataires agréés près l'Office européen des brevets ne peuvent être formulées, conformément aux point 6 des instructions remises aux candidats avant le début des épreuves, que sous une forme et dans un délai précis. Les réclamations qui ne satisfont pas à ces exigences ne peuvent être examinées ni par le jury d'examen ni par la Chambre de recours. 2. Après l'examen le candidat a le droit de consulter son dossier d'examen. Tant que cette possibilité ne lui a pas été ménagée, il est pas en mesure de motiver son recours de façon exhaustive et pertinente. Par conséquent, il es pratiquement exclu que le jury d'examen puisse faire droit au recours conformément à l'article 23(3) du règlement relatif à l'examen. Le déroulement normale de la procédure est donc interrompu; dans ces conditions, l'affaire doit être renvoyée devant la première instance pour que celle-ci statue de nouveau.",FR,,None,D,EP,0002,1980
D800004DP1,"[DE] Die Beschwerdekammer in Disziplinarangelegenheiten kann ausschließlich über Endentscheidungen des Disziplinarrats des Instituts und des Disziplinarausschusses des Europäischen Patentamts sowie der Prüfungskommission für die europäische Eignungsprüfung entscheiden. Folglich ist sie nicht zuständig zu entscheiden, ob Art. 163 EPÜ rechtmäßig ist oder nicht.",DE,,None,D,EP,0004,1980
D800004DX1,"[DE] Die Beschwerdekammer in Disziplinarangelegenheiten kann ausschließlich über Endentscheidungen des Disziplinarrats des Instituts und des Disziplinarausschusses des Europäischen Patentamts sowie der Prüfungskommission für die europäische Eignungsprüfung entscheiden. Folglich ist sie nicht zuständig zu entscheiden, ob Art. 163 EPÜ rechtmäßig ist oder nicht.",DE,,None,D,EP,0004,1980
D800004EP1,[EN] The Disciplinary Board of Appeal has jurisdiction only over final decisions of the Disciplinary Committee of the Institute and the Disciplinary Board of the Examination Board for the European Patent Office and of the Examination Board for the European Quali- fying Examination. Consequently it has no jurisdiction to rule whether or not Article 163 EPC is lawful.,EN,,None,D,EP,0004,1980
D800004FP1,"[FR] La Chambre de recours statuant en matière disciplinaire ne peut connaître en appel que des recours formés contre des décisions rendues par la commission de discipline de l'Institut et le conseil de discipline de l'Office européen des brevets, ainsi que par le jury de l'examen européen de qualification. Elle n'a donc pas compétence pour décider si l'article 163 de la CBE est ou non conforme au droit.",FR,,None,D,EP,0004,1980
D810001DP1,"[DE] 1. In Prüfungsangelegenheiten besteht die Befugnis der Disziplinarkammer gemäß Artikel 23(1) VEP darin, zu prüfen, ob die Vorschriften der VEP mit höherrangigem Recht, insbesondere mit dem EPÜ, in Übereinstimmung stehen und ob die angefochtene Entscheidung auf einer Verletzung solchen Rechts oder der in der VEP gegebenen Vorschriften beruht. Diese Vorschriften sind jedenfalls verletzt, wenn sie unrichtig oder unter Ermessensmißbrauch angewendet wurden. 2. Es liegt innerhalb des der Pruefungskommission durch Artikel 7(1)(a) VEP gegebenen Ermessensspielraums, den Nachweis gleichwertiger Kenntnisse von der Art der Diplome, die die Bewerber erworben haben, abhängig zu machen und diese nach dem Kriterium einer Mindestschulddauer zu unterscheiden sowie, bei nicht entsprechendem Diplom, vom Bewerber zum Nachweis gleichwertiger Kenntnisse ein Interview zu verlangen.",DE,,None,D,EP,0001,1981
D810001DX1,"[DE] 1. In Prüfungsangelegenheiten besteht die Befugnis der Disziplinarkammer gemäß Artikel 23(1) VEP darin, zu prüfen, ob die Vorschriften der VEP mit höherrangigem Recht, insbesondere mit dem EPÜ, in Übereinstimmung stehen und ob die angefochtene Entscheidung auf einer Verletzung solchen Rechts oder der in der VEP gegebenen Vorschriften beruht. Diese Vorschriften sind jedenfalls verletzt, wenn sie unrichtig oder unter Ermessensmißbrauch angewendet wurden. 2. Es liegt innerhalb des der Pruefungskommission durch Artikel 7(1)(a) VEP gegebenen Ermessensspielraums, den Nachweis gleichwertiger Kenntnisse von der Art der Diplome, die die Bewerber erworben haben, abhängig zu machen und diese nach dem Kriterium einer Mindestschulddauer zu unterscheiden sowie, bei nicht entsprechendem Diplom, vom Bewerber zum Nachweis gleichwertiger Kenntnisse ein Interview zu verlangen.",DE,,None,D,EP,0001,1981
D810001EP1,"[EN] 1. In matters connected with examinations, the Disciplinary Board of Appeal is empowered, pursuant to Article 23(1) of the Regulation, to investigate whether the provisions of the Regulation are in conformity with higher-ranking law, particularly the EPC, and whether the appealed decision rests on an infringement of such law or of the provisions of the Regulation. An incorrect application of those provisions or a misuse of discretionary powers in their application certainly constitutes infringement. 2. The Examination Board is operating within the scope of the discretionary powers conferred by Article 7(1)(a) of the Regulation in making the corroboration of an equivalent level of knowledge dependent on the type of qualifications obtained by the candidates, differentiating between such qualifications on the basis of a minimum period of education and requiring candidates not holding such qualifications to attend an interview to satisfy the Examination Board that they possess an equivalent level of knowledge.",EN,,None,D,EP,0001,1981
D810001FP1,"[FR] 1. La Chambre de recours statuant en matière disciplinaire sur des questions d'examen a compétence, conformément à l'article 23(1) du règlement relatif à l'examen européen, pour examiner si les dispositions dudit règlement ne vont pas à l'encontre de dispositions légales qui prévalent, notamment celles de la Convention sur le brevet européen (CBE), et si la décision incriminée ne repose pas sur une violation de ce texte ou du règlement relatif à l'examen. Il y a en tout cas violation lorsque les dispositions en cause ne sont pas correctement appliquées ou sont l'instrument d'un détournement du pouvoir. 2. Le jury d'examen peut, en vertu du pouvoir d'appréciation que lui confère l'article 17(1)a) du règlement relatif à l'examen, faire dépendre la justification de connaissances d'un niveau équivalent de la nature des diplômes dont les candidats sont titulaires, et établir entre ces diplômes une distinction fondée sur la durée minimale des études, de même qu'il peut demander à un candidat ne possédant pas un diplôme adéquat de se prêter à un entretien en vue de justifier de connaissances d'un niveau équivalent.",FR,,None,D,EP,0001,1981
D810002DP1,"[DE] Artikel 24(2) VEP erlaubt die Beruecksichtigung von Taetigkeiten auf dem Gebiet des nationalen Patentwesens nur, wenn die Taetigkeitsart und die Taetigkeitsbedingungen den in Artikel 7(1)(b) VEP genannten Faellen i) bis iii) entsprechen.",DE,,None,D,EP,0002,1981
D810002DX1,"[DE] Artikel 24(2) VEP erlaubt die Beruecksichtigung von Taetigkeiten auf dem Gebiet des nationalen Patentwesens nur, wenn die Taetigkeitsart und die Taetigkeitsbedingungen den in Artikel 7(1)(b) VEP genannten Faellen i) bis iii) entsprechen.",DE,,None,D,EP,0002,1981
D810002EP1,"[EN] Article 24(2) of the Regulation permits the taking into account of activities in the field of national patents, but only if the type and terms of such activity correspond to the cases mentioned in Article 7(1)(b)(i) to (iii) of the Regulation.",EN,,None,D,EP,0002,1981
D810002FP1,"[FR] L'article 24(2) du règlement relatif à l'examen européen n'autorise la prise en considération des activités exercées dans le domaine des brevets nationaux que lorsque la nature de l'activité et des conditions qui se rapportent à son exercice relèvent de l'un des cas énumérés aux points i), ii) et iii) de l'article 7(1)b) dudit règlement. (texte pas encore traduit)",FR,,None,D,EP,0002,1981
D820001DP1,"[DE] Als Verstoss gegen Artikel 8(2) VEP ist es nicht anzusehen, wenn gemaess der Mitteilung der Pruefungskommission fuer die europaeische Eignungspruefung in ABl EPA 1980, 218 (Rdn. 5.4.3a) eine Beruecksichtigung der Ausbildung bei den deutschen Patentbehoerden davon abhaengig gemacht wird, dass diese Ausbildung ""mit der Zulassung zur Patentanwaltspruefung"", also in ihrer Gesamtheit, abgeschlossen ist.",DE,,None,D,EP,0001,1982
D820001DX1,"[DE] Als Verstoss gegen Artikel 8(2) VEP ist es nicht anzusehen, wenn gemaess der Mitteilung der Pruefungskommission fuer die europaeische Eignungspruefung in ABl EPA 1980, 218 (Rdn. 5.4.3a) eine Beruecksichtigung der Ausbildung bei den deutschen Patentbehoerden davon abhaengig gemacht wird, dass diese Ausbildung ""mit der Zulassung zur Patentanwaltspruefung"", also in ihrer Gesamtheit, abgeschlossen ist.",DE,,None,D,EP,0001,1982
D820001EP1,"[EN] It is not to be regarded as an infringement of Article 8(2) of the Regulation on the European Qualifying Examination that, as in the notice of the Examination Board for the European Qualifying Examination in OJ EPO 1980, 218, 221 (point 5.4.3(a)), crediting of the training with the German patent authorities is made contingent on that training having led to admission to the Qualifying Examination for Patentanwälte, i.e. having been completed.",EN,,None,D,EP,0001,1982
D820001FP1,"[FR] Le fait de subordonner, conformément à la communication du jury d'examen pour l'examen européen de qualification parue au JO de l'OEB n°7/1980, p. 218 à 222 (point 5.4.3a), la prise en considération de la formation acquise auprès des autorités allemandes en matière de brevets à la condition que le candidat ait, à l'issue de sa formation, été ""admis"" à se présenter à l'examen de ""Patentanwalt"" (c'est-à-dire que la formation soit complète) ne saurait être considéré comme contraire à l'article 8(2) du règlement relatif à l'examen européen. (Texte pas encore traduit)",FR,,None,D,EP,0001,1982
D820002DP1,"[DE] Die Ausbildung des Patentanwaltskandidaten, beim DPA/BPatG ist keine Beschaeftigung im Sinne von Artikel 7(1)(b)(ii) oder (iii) VEP.",DE,,None,D,EP,0002,1982
D820002DX1,"[DE] Die Ausbildung des Patentanwaltskandidaten, beim DPA/BPatG ist keine Beschaeftigung im Sinne von Artikel 7(1)(b)(ii) oder (iii) VEP.",DE,,None,D,EP,0002,1982
D820002EP1,[EN] Patent lawyer training with the German patent authorities is not a professional activity within the meaning of Article 7(1)(b)(ii) or (iii) of the Regulation.,EN,,None,D,EP,0002,1982
D820002FP1,"[FR] Le stage de formation accompli auprès de l'Office allemand des brevets/Tribunal fédéral des brevets par le candidat à l'examen de ""Patentanwalt"" n'est pas une activité au sens de l'article 7(1)b)ii) ou iii) du règlement relatif à l'examen européen.",FR,,None,D,EP,0002,1982
D820005DP1,"[DE] 1. In Pruefungsangelegenheiten besteht die Befugnis der Disziplinarkammer gemaess Artikel 23(1) VEP darin, zu pruefen, ob die Vorschriften der VEP mit hoeherrangigem Recht, insbesondere mit dem EPÜ, in Übereinstimmung stehen, und ob die angefochtene Entscheidung auf einer Verletzung solchen Rechts oder der in der VEP gegebenen Vorschriften beruht. Folglich ist fuer die Durchfuehrung der Pruefung die Pruefungskommission und in keinem Fall die Beschwerdekammer in Disziplinarangelegenheiten an ihrer Stelle zustaendig. 2. Da die Pruefungskommission sich in jedem Ausschuss aus mehreren Pruefern zusammensetzt, wird die Note fuer jede Pruefungsarbeit von dem Ausschuss in seiner Gesamtheit vergeben. Daraus ergibt sich, dass weider die Methode der arithmetischen Mittelwertbildung noch die sogenannte Methode der Notenabgleichung fuer die Ausschuesse zwingend geboten ist. 3. Die Vernichtung eines Teils der Pruefungsarbeiten, auf denen die Noten und etwaige Bemerkungen eingetragen waren, durch die Pruefer, stellt einen schweren Verstoss gegen das Recht des Bewerbers auf Einsicht in die Beurteilung der Pruefungskommission dar, der in besonderen Faellen so gravierend sein kann, dass er die Nichtigkeit der gesamten Pruefung zur Folge hat. 4. Die Befassung der Grossen Beschwerdekammer durch die Beschwerdekammer in Disziplinarangelegenheiten ist ausgeschlossen.",DE,,None,D,EP,0005,1982
D820005DX1,"[DE] 1. In Pruefungsangelegenheiten besteht die Befugnis der Disziplinarkammer gemaess Artikel 23(1) VEP darin, zu pruefen, ob die Vorschriften der VEP mit hoeherrangigem Recht, insbesondere mit dem EPÜ, in Übereinstimmung stehen, und ob die angefochtene Entscheidung auf einer Verletzung solchen Rechts oder der in der VEP gegebenen Vorschriften beruht. Folglich ist fuer die Durchfuehrung der Pruefung die Pruefungskommission und in keinem Fall die Beschwerdekammer in Disziplinarangelegenheiten an ihrer Stelle zustaendig. 2. Da die Pruefungskommission sich in jedem Ausschuss aus mehreren Pruefern zusammensetzt, wird die Note fuer jede Pruefungsarbeit von dem Ausschuss in seiner Gesamtheit vergeben. Daraus ergibt sich, dass weider die Methode der arithmetischen Mittelwertbildung noch die sogenannte Methode der Notenabgleichung fuer die Ausschuesse zwingend geboten ist. 3. Die Vernichtung eines Teils der Pruefungsarbeiten, auf denen die Noten und etwaige Bemerkungen eingetragen waren, durch die Pruefer, stellt einen schweren Verstoss gegen das Recht des Bewerbers auf Einsicht in die Beurteilung der Pruefungskommission dar, der in besonderen Faellen so gravierend sein kann, dass er die Nichtigkeit der gesamten Pruefung zur Folge hat. 4. Die Befassung der Grossen Beschwerdekammer durch die Beschwerdekammer in Disziplinarangelegenheiten ist ausgeschlossen.",DE,,None,D,EP,0005,1982
